"sclAutoID","sclName","sclCode","sclCluster","sclCommune","sclDistrict","sclProvince","sclZone","sclOrder","sclStatus","sclImage","sclZoneName","sclProvinceName","sclDistrictName","updated_at","total_students","total_teachers","total_teachers_female","total_students_female","created_at","deleted_at","updatedat","latitude","longitude","province_code"
"6987","សាលាបឋមសិក្សាជ័យមុន្នី","20030703015",,,"109","23","3","6987","1",,,,,,,,,,,,,"10.52479471910063","104.3364229278562","23"
"6995","សាលាបឋមសិក្សាស្វាយចេក","20031009021",,,"109","23","3","6995","1",,,,,,,,,,,,,"10.50002438930352","104.3595637555761","23"
"6993","សាលាបឋមសិក្សាម្រាក","20031007023",,,"109","23","3","6993","1",,,,,,,,,,,,,"10.48896162766691","104.2681676369957","23"
"6997","សាលាបឋមសិក្សាក្រោលគោ","20051004032",,,"111","23","3","6997","1",,,,,,,,,,,,,"10.42826378246889","104.2642210967459","23"
"6998","សាលាបឋមសិក្សាបឹងរ៉ៃ","20051009035",,,"111","23","3","6998","1",,,,,,,,,,,,,"10.54828279318568","104.3920884243295","23"
"7001","សាលាបឋមសិក្សាចំបក់គុយ","20050403013",,,"111","23","3","7001","1",,,,,,,,,,,,,"10.46342088749555","104.378842876435","23"
"6999","សាលាបឋមសិក្សាមង្គលរការាម","20051007033",,"828","111","23","3","6999","1",,,,,,,,,,,,,"10.44166772656842","104.3199068967278","23"
"7000","សាលាបឋមសិក្សាវាលខ្នាច","20051011060",,,"111","23","3","7000","1",,,,,,,,,,,,,"10.42644767949818","104.2229435235948","23"
"7002","សាលាបឋមសិក្សាចំឡង","20050407017",,,"111","23","3","7002","1",,,,,,,,,,,,,"10.51471503398514","104.3893662091145","23"
"7006","សាលាបឋមសិក្សាឬស្សីព្រៃ","20050406015",,,"111","23","3","7006","1",,,,,,,,,,,,,"10.47433323059995","104.2413436291529","23"
"7007","សាលាបឋមសិក្សាត្បែង","20050909061",,,"111","23","3","7007","1",,,,,,,,,,,,,"10.55913769442449","104.3931520298881","23"
"7010","សាលាបឋមសិក្សាអង្គកប្បាស់","20050905029",,,"111","23","3","7010","1",,,,,,,,,,,,,"10.45919821833752","104.298063477037","23"
"7008","សាលាបឋមសិក្សាទួលធាតុ","20050911031",,,"111","23","3","7008","1",,,,,,,,,,,,,"10.41678110403122","104.2202569192762","23"
"7009","សាលាបឋមសិក្សាស្វាយព្រហូត","20050906030",,"827","111","23","3","7009","1",,,,,,,,,,,,,"10.47413504674208","104.2838236125778","23"
"6994","សាលាបឋមសិក្សាវង្សគៀង","20031005029",,,"109","23","3","6994","1",,,,,,,,,,,,,"10.51214523111642","104.2137992254237","23"
"7012","សាលាបឋមសិក្សាក្រសាំងជ្រំ","20051107055",,,"111","23","3","7012","1",,,,,,,,,,,,,"10.49668642551979","104.2741153811054","23"
"7011","សាលាបឋមសិក្សាកណ្តាលភូមិ","20051109038",,,"111","23","3","7011","1",,,,,,,,,,,,,"10.52129818037416","104.2149172337695","23"
"7025","សាលាបឋមសិក្សាអង្គវៀន","20050809027",,,"111","23","3","7025","1",,,,,,,,,,,,,"10.59901372164248","104.2342338397524","23"
"7026","សាលាបឋមសិក្សាចំបក់កោង","20050504019",,,"111","23","3","7026","1",,,,,,,,,,,,,"10.44891391584303","104.3950143813305","23"
"7037","សាលាបឋមសិក្សាពោធិពិសី","20051204057",,,"111","23","3","7037","1",,,,,,,,,,,,,"10.44817483150132","104.3302842031799","23"
"7013","សាលាបឋមសិក្សាគ្រួស","20051103036",,,"111","23","3","7013","1",,,,,,,,,,,,,"10.58998904717523","104.2758572533144","23"
